Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Castro Urdiales;Cantabria;10.8 (00:20);4.9 (22:00);7.9;56 (13:10);40 (12:20);28.4;11.0;8.6;5.4
Ramales de la Victoria;Cantabria;8.8 (05:10);3.6 (20:40);6.2;39 (12:10);16 (12:10);;8.4;10.6;
Barcena de Cicero, Treto;Cantabria;10.9 (01:50);4.6 (23:20);7.7;45 (10:30);20 (11:30);25.4;7.8;6.0;7.4
Soba, Alto Miera;Cantabria;6.3 (01:30);0.0 (18:40);3.2;;;;9.6;15.6;7.2
Santander Aeropuerto;Cantabria;10.9 (01:30);5.0 (16:30);7.9;78 (12:30);36 (11:00);20.9;10.2;2.6;5.7
Santander;Cantabria;10.9 (01:30);6.4 (12:30);8.6;83 (12:30);55 (12:30);;;;
Villacarriedo;Cantabria;8.7 (02:30);2.0 (20:30);5.3;37 (04:40);21 (11:40);51.8;10.0;20.0;10.8
Los Tojos, Bárcena Mayor;Cantabria;6.3 (05:00);0.9 (21:40);3.6;33 (06:30);13 (06:40);31.4;3.4;7.0;10.6
San Felices de Buelna;Cantabria;9.5 (01:40);4.2 (21:50);6.8;47 (11:20);21 (11:20);46.0;15.6;19.0;3.8
Torrelavega, Sierrapando;Cantabria;10.2 (01:40);4.3 (21:30);7.3;72 (12:20);37 (13:20);26.6;10.8;9.6;1.4
