Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Alhama de Murcia;Murcia;12.1 (16:20);3.0 (22:10);7.6;27 (06:10);15 (06:00);0.0;0.0;0.0;0.0
Molina de Segura;Murcia;12.0 (16:30);2.5 (08:10);7.3;38 (02:10);23 (10:20);0.0;0.0;0.0;0.0
Abanilla;Murcia;12.4 (15:30);1.7 (23:59);7.0;;;0.0;0.0;0.0;0.0
Yecla;Murcia;9.3 (17:40);-0.2 (23:59);4.6;57 (09:00);35 (09:00);0.0;0.0;0.0;0.0
Baztan, Irurita;Navarra;5.8 (14:10);-0.2 (21:50);2.8;24 (15:00);12 (15:00);0.5;0.0;0.0;0.0
Bera;Navarra;6.3 (14:00);0.8 (03:50);3.6;17 (14:10);9 (14:40);2.8;0.6;0.6;0.6
Areso;Navarra;3.2 (13:10);-1.1 (08:30);1.1;13 (17:20);5 (17:20);5.8;1.8;0.0;2.0
Los Arcos;Navarra;6.1 (14:10);-0.2 (02:50);2.9;31 (14:20);16 (19:40);0.0;0.0;0.0;0.0
Isaba/Izaba;Navarra;2.3 (12:30);-2.4 (01:00);-0.1;60 (09:30);30 (09:50);0.0;0.0;0.0;0.0
Oroz-Betelu/Orotz-Betelu;Navarra;1.6 (12:50);-1.0 (21:10);0.3;48 (14:00);27 (13:50);0.0;0.0;0.0;0.0
Roncesvalles;Navarra;-1.2 (12:30);-4.3 (07:50);-2.8;41 (05:10);12 (08:20);0.0;0.0;0.0;0.0
Navascués/Nabaskoze;Navarra;3.0 (13:20);-4.0 (08:00);-0.5;;;0.0;0.0;0.0;0.0
Cáseda;Navarra;5.0 (14:30);0.1 (23:10);2.6;56 (12:00);29 (12:00);0.0;0.0;0.0;0.0
Olite/Erriberri;Navarra;5.0 (13:50);0.4 (21:20);2.7;50 (13:40);25 (14:00);0.0;0.0;0.0;0.0
Esteribar, Eugui;Navarra;3.4 (13:10);-1.6 (08:00);0.9;;;0.0;0.0;0.0;0.0
Monreal/Elo;Navarra;2.5 (14:20);-1.2 (08:10);0.6;68 (11:20);46 (11:20);0.0;0.0;0.0;0.0
Pamplona Aeropuerto;Navarra;4.6 (14:00);-0.5 (08:10);2.0;46 (13:30);31 (13:30);0.0;0.0;0.0;0.0
Aranguren, Ilundain;Navarra;3.1 (14:10);-0.9 (08:30);1.1;42 (13:30);16 (14:10);0.0;0.0;0.0;0.0
Irurtzun;Navarra;3.1 (13:50);0.4 (18:50);1.7;28 (13:10);13 (14:10);1.6;0.4;0.6;0.0
Larraga;Navarra;5.2 (14:20);-0.1 (21:40);2.5;48 (14:30);31 (18:10);0.0;0.0;0.0;0.0
Bardenas Reales, Base Aérea;Navarra;6.5 (15:10);0.9 (23:50);3.7;59 (14:50);41 (15:30);0.0;0.0;0.0;0.0
Monteagudo;Navarra;5.2 (15:20);1.4 (23:40);3.3;;;0.0;0.0;0.0;0.0
